Product Name,Specifications,Rating,Price,product_url,Processor,RAM,OS,Storage,Display,Warranty,DDR,text
Acer Aspire 3,Intel Celeron Dual Core Processor 8 GB DDR 4 RAM 64 bit Windows 11 Home Operating System 512 GB SSD 29.46 cm (11.6 inch) Display 1 Year Warranty,3.8,17990,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4RHDRWI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_V9k3ZXe-e4o6t43XQq04zpn8t-Mq-4cybyNnaR9zzcTgC9w_dBnjOKQAZPQ_5v7rFLvHtFh-9We2Jv-D1gDRH_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=7mirtotcrk0000001746600266084&qH=312f91285e048e09,Not found,8 GB,Windows 11 Home,512 GB SSD,29.46 cm (11.6 inch),1 Year Warranty,DDR,"Product: Acer Aspire 3, Rating: 3.8, Price: 17990, Processor: Not found, RAM: 8 GB, OS: Windows 11 Home, Storage: 512 GB SSD, Display: 29.46 cm (11.6 inch), Warranty: 1 Year Warranty, DDR: DDR, Specs: Intel Celeron Dual Core Processor 8 GB DDR 4 RAM 64 bit Windows 11 Home Operating System 512 GB SSD 29.46 cm (11.6 inch) Display 1 Year Warranty"
Acer Aspire 3,Intel Celeron Dual Core Processor 8 GB LPDDR 4X RAMWindows 11 Operating System 512 GB SSD 35.56 cm (14 Inch) Display 1 Year Carry-in Warranty,3.9,21990,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itmbbfe217e40d59?pid=COMHFZYZFVD2MCAB&lid=LSTCOMHFZYZFVD2MCABTLQNKG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_V9k3ZXe-e4o6t43XQq04zpn8t-Mq-4cybyNnaR9zzcQGHOhMx0wZJyIbykuMfW_Se8GIdtaD0ZR_tj0nLxHlmfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=7mirtotcrk0000001746600266084&qH=312f91285e048e09,Not found,8 GB,Windows 11,512 GB SSD,35.56 cm (14 Inch),1 Year Carry-in Warranty,LPDDR,"Product: Acer Aspire 3, Rating: 3.9, Price: 21990, Processor: Not found, RAM: 8 GB, OS: Windows 11, Storage: 512 GB SSD, Display: 35.56 cm (14 Inch), Warranty: 1 Year Carry-in Warranty, DDR: LPDDR, Specs: Intel Celeron Dual Core Processor 8 GB LPDDR 4X RAMWindows 11 Operating System 512 GB SSD 35.56 cm (14 Inch) Display 1 Year Carry-in Warranty"
ASUS Vivobook 15,Intel Core i 3 Processor (13th Gen)8 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty,4.2,35990,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj323ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMGZDQJ7WBQQ7AR&lid=LSTCOMGZDQJ7WBQQ7ARKVDISD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=22065b8a-a9a7-4ad8-a2d7-4c114aaf6ae5.COMGZDQJ7WBQQ7AR.SEARCH&ppt=None&ppn=None&ssid=7mirtotcrk0000001746600266084&qH=312f91285e048e09,Intel Core i 3 Processor (13th Gen),8 GB,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),1 Year Onsite Warranty,DDR,"Product: ASUS Vivobook 15, Rating: 4.2, Price: 35990, Processor: Intel Core i 3 Processor (13th Gen), RAM: 8 GB, OS: Windows 11, Storage: 512 GB SSD, Display: 39.62 cm (15.6 Inch), Warranty: 1 Year Onsite Warranty, DDR: DDR, Specs: Intel Core i 3 Processor (13th Gen)8 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty"
SAMSUNG Galaxy Book4 Metal,Intel Core i 5 Processor (13th Gen)16 GB LPDDR 4X RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,4.5,51990,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=22065b8a-a9a7-4ad8-a2d7-4c114aaf6ae5.COMGZUYDGFJGHZR4.SEARCH&ppt=None&ppn=None&ssid=7mirtotcrk0000001746600266084&qH=312f91285e048e09,Intel Core i 5 Processor (13th Gen),16 GB,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),Not found,LPDDR,"Product: SAMSUNG Galaxy Book4 Metal, Rating: 4.5, Price: 51990, Processor: Intel Core i 5 Processor (13th Gen), RAM: 16 GB, OS: Windows 11, Storage: 512 GB SSD, Display: 39.62 cm (15.6 Inch), Warranty: Not found, DDR: LPDDR, Specs: Intel Core i 5 Processor (13th Gen)16 GB LPDDR 4X RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories"
ASUS Vivobook 15,Intel Core i 5 Processor (12th Gen)8 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty,4.2,40990,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj527ws-x1504za-nj522ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH4Y6KZGGKYCGP&lid=LSTCOMH4Y6KZGGKYCGP6QZMPB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=22065b8a-a9a7-4ad8-a2d7-4c114aaf6ae5.COMH4Y6KZGGKYCGP.SEARCH&ppt=None&ppn=None&ssid=7mirtotcrk0000001746600266084&qH=312f91285e048e09,Intel Core i 5 Processor (12th Gen),8 GB,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),1 Year Onsite Warranty,DDR,"Product: ASUS Vivobook 15, Rating: 4.2, Price: 40990, Processor: Intel Core i 5 Processor (12th Gen), RAM: 8 GB, OS: Windows 11, Storage: 512 GB SSD, Display: 39.62 cm (15.6 Inch), Warranty: 1 Year Onsite Warranty, DDR: DDR, Specs: Intel Core i 5 Processor (12th Gen)8 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty"
Acer Aspire 3,AMD Ryzen 3 Quad Core Processor 8 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Carry-in Warranty,4.1,25990,https://www.flipkart.com/acer-aspire-3-amd-ryzen-quad-core-7330u-8-gb-512-gb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397X2KJ8XCHR&lid=LSTCOMH397X2KJ8XCHRBDEAS1&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_V9k3ZXe-e4o6t43XQq04zpn8t-Mq-4cybyNnaR9zzcS9ThBUebz7-zokgttiBXbSbysKKmb474XU2q-zNkVlCX3Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=7mirtotcrk0000001746600266084&qH=312f91285e048e09,Not found,8 GB,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),1 Year Carry-in Warranty,DDR,"Product: Acer Aspire 3, Rating: 4.1, Price: 25990, Processor: Not found, RAM: 8 GB, OS: Windows 11, Storage: 512 GB SSD, Display: 39.62 cm (15.6 Inch), Warranty: 1 Year Carry-in Warranty, DDR: DDR, Specs: AMD Ryzen 3 Quad Core Processor 8 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Carry-in Warranty"
ASUS Vivobook Go 15,AMD Ryzen 3 Quad Core Processor 8 GB LPDDR 5 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty,4.2,28990,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj321ws-thin-light-laptop/p/itmf2da9c7085e1b?pid=COMGNRNUUGYRB96A&lid=LSTCOMGNRNUUGYRB96AXULOGS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=22065b8a-a9a7-4ad8-a2d7-4c114aaf6ae5.COMGNRNUUGYRB96A.SEARCH&ppt=None&ppn=None&ssid=7mirtotcrk0000001746600266084&qH=312f91285e048e09,Not found,8 GB,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),1 Year Onsite Warranty,LPDDR,"Product: ASUS Vivobook Go 15, Rating: 4.2, Price: 28990, Processor: Not found, RAM: 8 GB, OS: Windows 11, Storage: 512 GB SSD, Display: 39.62 cm (15.6 Inch), Warranty: 1 Year Onsite Warranty, DDR: LPDDR, Specs: AMD Ryzen 3 Quad Core Processor 8 GB LPDDR 5 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty"
Acer Aspire 3,Intel Celeron Dual Core Processor 8 GB DDR 4 RAM 64 bit Windows 11 Home Operating System 128 GB SSD 29.46 cm (11.6 inch) Display 1 Year Warranty,3.8,14990,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-128-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZGGGWQC4W&lid=LSTCOMH7NCZGGGWQC4WZOS2IO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=22065b8a-a9a7-4ad8-a2d7-4c114aaf6ae5.COMH7NCZGGGWQC4W.SEARCH&ppt=None&ppn=None&ssid=7mirtotcrk0000001746600266084&qH=312f91285e048e09,Not found,8 GB,Windows 11 Home,128 GB SSD,29.46 cm (11.6 inch),1 Year Warranty,DDR,"Product: Acer Aspire 3, Rating: 3.8, Price: 14990, Processor: Not found, RAM: 8 GB, OS: Windows 11 Home, Storage: 128 GB SSD, Display: 29.46 cm (11.6 inch), Warranty: 1 Year Warranty, DDR: DDR, Specs: Intel Celeron Dual Core Processor 8 GB DDR 4 RAM 64 bit Windows 11 Home Operating System 128 GB SSD 29.46 cm (11.6 inch) Display 1 Year Warranty"
MOTOROLA Motobook 60 Full Metal,Intel Core 5 (Series 2) Processor 16 GB DDR 5 RAM 64 bit Windows 11 Operating System 512 GB SSD 35.56 cm (14 Inch) DisplayOffice Home 20241 Year Onsite Warranty,4.2,62990,https://www.flipkart.com/motorola-motobook-60-full-metal-intel-core-5-series-2-210h-16-gb-512-gb-ssd-windows-11-home-14irh10r-thin-light-laptop/p/itme7b254581c42e?pid=COMHAUZW4MMNNCGT&lid=LSTCOMHAUZW4MMNNCGTEVATRK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=22065b8a-a9a7-4ad8-a2d7-4c114aaf6ae5.COMHAUZW4MMNNCGT.SEARCH&ppt=None&ppn=None&ssid=7mirtotcrk0000001746600266084&qH=312f91285e048e09,Not found,16 GB,Windows 11,512 GB SSD,35.56 cm (14 Inch),20241 Year Onsite Warranty,DDR,"Product: MOTOROLA Motobook 60 Full Metal, Rating: 4.2, Price: 62990, Processor: Not found, RAM: 16 GB, OS: Windows 11, Storage: 512 GB SSD, Display: 35.56 cm (14 Inch), Warranty: 20241 Year Onsite Warranty, DDR: DDR, Specs: Intel Core 5 (Series 2) Processor 16 GB DDR 5 RAM 64 bit Windows 11 Operating System 512 GB SSD 35.56 cm (14 Inch) DisplayOffice Home 20241 Year Onsite Warranty"
ASUS Vivobook 15,Intel Core i 3 Processor (13th Gen)8 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite warranty,4.2,34990,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj320ws-thin-light-laptop/p/itm200184e4e0443?pid=COMGYSFGRDEFFPY6&lid=LSTCOMGYSFGRDEFFPY6IFXPZU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=22065b8a-a9a7-4ad8-a2d7-4c114aaf6ae5.COMGYSFGRDEFFPY6.SEARCH&ppt=None&ppn=None&ssid=7mirtotcrk0000001746600266084&qH=312f91285e048e09,Intel Core i 3 Processor (13th Gen),8 GB,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),Not found,DDR,"Product: ASUS Vivobook 15, Rating: 4.2, Price: 34990, Processor: Intel Core i 3 Processor (13th Gen), RAM: 8 GB, OS: Windows 11, Storage: 512 GB SSD, Display: 39.62 cm (15.6 Inch), Warranty: Not found, DDR: DDR, Specs: Intel Core i 3 Processor (13th Gen)8 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite warranty"
